id,x,y,dbh
15,39.135106704229145,42.203947684385184,60.78
89,-25.850702466631237,43.13647457864535,23.76
27,-6.545781211283741,27.000241581913034,36.39
114,6.6758382284207975,41.68232520078767,72.79
70,22.635787808627708,27.54990469341339,22.06
53,-33.788529656436715,8.176064119029956,56.45
176,-5.4166146643255555,30.957662826768143,34.58
43,-37.37614190350277,-11.542278569053686,32.88
77,-3.8073060107179337,39.61760079752888,69.15
69,22.455055511500017,-5.373257910394507,38.89
5,-4.5878231312173146,52.86264866549097,58.77
156,27.601609359269762,-2.50753226197552,35.58
170,3.933959561229969,-15.137166185306267,26.72
100,-6.559962344817059,-20.2269994860919,63.59
148,25.4287086129238,37.29130569023772,46.81
116,19.35760484439645,-17.456167301963234,34.51
238,42.42637843411355,43.034869100683814,34.93
181,14.820098549588629,0.18673599155904697,16.95
50,22.279519203321144,24.984291183768395,14.59
205,-11.47559197178311,49.434188311493735,47.68
130,32.63622669007683,5.607923876303902,60.78
136,-4.539130423156553,20.66651024765923,14.31
23,-27.70731330735799,26.959506500970964,61.15
94,1.975620428606975,10.787819983284786,64.87
145,-6.790158078721899,-21.17963263903799,43.33
86,-20.587338477049993,-19.061658829948037,31.44
90,34.98046092996818,10.382970036135344,27.72
254,-24.07247387400087,46.74905026260711,36.45
7,-5.013652521546865,-11.973301773523424,44.15
0,-18.692497404801614,45.02462189620209,32.6
132,-14.955378134217856,28.582543573878247,35.51
203,-20.998984559037595,59.0838045540718,58.05
242,11.90207725194984,39.06971622335875,32.82
214,35.47123028207217,16.509595978939053,34.73
75,-43.09910228687122,17.324973195712477,45.97
151,-39.30301295875991,14.252286128502504,93.06
209,17.4963460110015,28.58249270845746,60.34
192,11.026390532026833,12.649555876219477,20.44
12,-28.282937666523484,11.174423143663809,45.57
96,-27.7125089338387,-20.36217640449496,16.06
95,-24.687881369837594,30.347106060346572,33.86
129,23.11827970678975,33.329498240386044,9.72
144,-3.7125386225752726,27.136390153438917,39.63
236,24.334461575632446,-17.81491104999386,44.88
229,-9.926207132314406,-13.292015994356177,34.68
40,-25.760785082967523,26.90011061179257,67.16
35,-42.91552669205216,-15.220459663614914,54.62
124,-5.143885240828333,21.914537334906445,35.47
73,-27.37499424400678,-2.007676034445442,58.05
65,-49.508954186024944,-13.061938437931957,17.92
194,24.759513788450978,38.74920770577196,23.67
256,11.96627228018639,12.319673625292673,40.11
83,-23.908599140005087,-4.018995249029025,59.6
55,11.46904879056495,1.3195932255242848,23.48
118,-0.8080075769343882,12.200199226535622,29.52
149,23.489053908906996,22.755070289378754,31.94
251,-28.322977591944145,15.802035573888741,17.74
224,1.7602748261102583,-7.6154114251251315,32.98
212,-15.369946711772855,-4.153214136834727,25.14
8,32.00138265836519,21.6622028403496,28.46
92,-7.068289052028465,-21.761992632244542,77.58
106,28.767858267994512,-2.745992914701162,40.06
190,-13.194977670437902,-21.938306480402545,51.75
63,-20.090340257141065,5.4959508413821005,17.48
93,8.059737027124381,-11.358415028916383,36.36
200,5.888747705519034,40.806946135034885,37.78
217,-5.494238356358595,34.444491552477956,43.72
237,2.574146740941921,7.067837960016026,12.34
57,-35.4699974141942,29.254552351814155,47.17
72,17.37084258144162,-6.8576025071196085,22.74
257,-20.518273735482513,-1.9588511639104986,55.87
185,-40.69310410730931,1.3852061723226807,81.3
245,-28.336211417660724,18.545322811101954,19.66
52,-17.382074260436262,-8.245468127963555,55.08
49,-43.18745423026419,-13.597698000904717,15.16
128,38.55624900874436,23.91542877856949,45.31
44,-18.780391635038715,26.95117245774981,58.54
139,-0.09679191543182908,43.153542701559985,32.71
74,-26.977150342173296,4.294349055140753,70.58
59,-31.95672683222972,-8.339289295693789,52.31
226,7.962287485524712,-11.469336563534398,35.47
120,12.412094750643455,-5.220159393434603,39.28
239,-15.59447048459346,47.285667937676166,53.67
208,-38.65192739719301,-4.443344045190997,59.26
147,15.284311779475225,-21.05203765658736,32.56
98,-43.540081564112064,14.614708028419036,23.14
175,33.09697595254131,35.25410761244671,58.65
105,-21.948693117238925,-13.26690141107051,49.66
56,-18.29514346009711,-1.753688353769828,38.82
19,-14.510289149581848,-4.741677284166666,53.58
10,19.733317159308772,-7.382496657336059,30.74
48,-12.948583735899653,-0.1554395885303279,25.69
252,1.5699635972501307,40.99323576481598,48.04
180,-26.76636035004266,14.098203785766739,12.87
104,-32.5031884889158,-0.926369516162115,23.8
207,13.467635221809662,-3.093087623669831,16.29
191,-20.04630807686965,35.38202387159302,71.28
220,24.6684743302107,35.0652679916828,62.19
240,-6.575865063933288,1.975629797475504,39.6
60,-27.700182635766794,23.078430728260173,15.19
143,11.439661180841126,7.638148152752086,56.55
21,13.658104408322476,5.822573960811104,54.11
179,26.652893612915655,47.394877884555676,41.23
188,9.166953565183949,-9.674321344512993,28.27
108,4.09373748541984,-13.778280239046765,57.63
206,17.88230879279779,4.159715783401044,88.75
25,-15.284991786210293,-9.386452394416992,39.67
202,-43.749148158319265,15.17612690874513,70.5
41,29.587745228635434,-3.817900266934082,15.1
99,-39.75765225583628,9.749142436640797,61.75
58,20.815351077086635,21.44289150311684,47.17
162,-29.93122720904903,10.43628929130307,57.06
189,-3.164178438737828,15.997548153087992,11.37
244,-23.166197260128396,31.781566750034,28.67
110,2.2189432584646074,-0.11638993768014849,29.64
