id,x,y,dbh
24,-15.68,15.05,65.5
51,4.77,6.55,33.15
8,0.52,3.1,58.21
12,-17.77,12.14,41.02
40,4.44,-9.38,83.38
59,3.7,3.46,40.04
35,-7.28,-5.34,48.71
14,2.9,13.63,51.52
36,3.9,18.08,46.76
26,3.66,14.24,32.23
56,-11.02,19.32,30.4
54,14.68,-5.25,28.8
7,7.6,-10.11,37.19
13,12.95,-10.89,35.88
48,3.02,-13.81,14.16
37,-0.1,4.31,48.37
2,1.97,4.38,43.67
58,-3.16,3.88,31.16
3,18.48,5.64,26.74
31,11.36,-10.37,56.83
11,-16.0,16.09,46.86
34,-13.09,-2.5,22.39
25,9.26,-10.67,45.62
28,-18.66,7.43,21.11
10,-5.68,-3.23,39.42
44,19.84,-12.83,25.13
9,17.96,17.4,40.4
46,-11.4,-2.69,51.78
60,-10.53,6.86,19.84
30,-10.0,15.86,41.67
55,-8.49,14.02,21.74
57,-15.1,-9.21,38.85
32,-6.36,14.28,52.24
18,15.89,17.82,48.37
15,-14.26,-8.62,15.93
22,-5.49,18.62,24.82
1,8.05,-19.28,13.45
20,-11.76,9.64,24.54
4,-11.44,2.55,18.93
21,-1.16,-0.45,44.5
42,14.2,5.5,22.55
17,-12.09,-14.12,52.45
5,2.94,19.19,24.33
27,-6.67,-3.19,64.24
33,1.34,8.74,87.96
29,18.96,19.4,28.89
43,-10.44,12.58,67.39
50,-16.32,-9.24,39.32
41,-4.24,-10.35,51.19
61,-17.16,16.45,60.07
53,19.39,4.48,62.89
52,-17.23,12.28,37.91
23,-14.74,-17.93,13.4
39,-1.83,-18.75,15.69
